Date,Open,High,Low,Close,Volume
2023-06-16,5475,5550,5400,5550,189062600
2023-06-15,5475,5525,5450,5525,74388400
2023-06-14,5575,5575,5475,5550,79137600
2023-06-13,5400,5550,5400,5550,108831400
2023-06-12,5400,5400,5375,5400,92314200
2023-06-09,5425,5450,5375,5425,77348500
2023-06-08,5375,5475,5350,5475,92794100
2023-06-07,5475,5475,5350,5400,117647200
2023-06-06,5400,5500,5350,5450,92021400
2023-06-05,5600,5600,5425,5425,255472600
2023-05-31,5575,5575,5375,5575,506875200
2023-05-30,5500,5600,5500,5500,89882300
2023-05-29,5600,5625,5475,5550,125049100
2023-05-26,5425,5600,5425,5600,154003100
2023-05-25,5500,5575,5450,5475,197943500
2023-05-24,5525,5600,5450,5600,156211500
2023-05-23,5475,5600,5475,5500,221674600
2023-05-22,5300,5500,5300,5425,163193100
2023-05-19,5225,5450,5200,5400,166540800
2023-05-17,5250,5250,5175,5200,115835000
2023-05-16,5175,5200,5100,5200,86624300
2023-05-15,5150,5175,5025,5150,133630500
2023-05-12,5100,5175,5100,5150,77156700
2023-05-11,5175,5175,5100,5150,85625400
2023-05-10,5075,5150,5050,5150,108419000
2023-05-09,5050,5125,5025,5125,103015100
2023-05-08,5250,5250,5050,5100,107804200
2023-05-05,5225,5250,5125,5225,158898000
2023-05-04,5150,5175,5075,5150,120038600
2023-05-03,5225,5225,5050,5100,152483900
2023-05-02,5175,5175,5050,5150,113287400
2023-04-28,5175,5275,5100,5100,251912000
2023-04-27,4990,5150,4990,5150,161579000
2023-04-26,5150,5150,4930,5025,273336000
2023-04-18,4990,5025,4950,4950,96867000
2023-04-17,5075,5075,4960,4990,121238600
2023-04-14,5050,5100,5000,5075,168228700
2023-04-13,4950,5000,4930,4980,179405400
2023-04-12,4950,4950,4890,4930,166993800
2023-04-11,4860,4890,4830,4880,67289600
2023-04-10,4860,4860,4820,4860,40466300
2023-04-06,4860,4860,4820,4840,88035900
2023-04-05,4810,4880,4800,4830,119450400
2023-04-04,4800,4820,4760,4820,65766900
2023-04-03,4770,4800,4760,4800,115874700
2023-03-31,4730,4750,4710,4730,161595700
2023-03-30,4810,4810,4740,4750,98853500
2023-03-29,4800,4820,4770,4810,112591000
2023-03-28,4740,4780,4740,4770,88575500
2023-03-27,4750,4790,4720,4740,144957300
2023-03-24,4750,4820,4720,4770,311147800
2023-03-21,4870,4920,4840,4900,193095400
2023-03-20,4840,4880,4820,4880,114461300
2023-03-17,4770,4900,4750,4900,204810200
2023-03-16,4700,4750,4640,4730,141491300
2023-03-15,4760,4770,4700,4700,89886400
2023-03-14,4770,4790,4690,4710,193559600
2023-03-13,4810,4870,4770,4830,106769300
2023-03-10,4820,4830,4800,4820,125157100
2023-03-09,4860,4870,4810,4810,79549800
2023-03-08,4850,4850,4820,4840,103767800
2023-03-07,4770,4850,4770,4840,98412500
2023-03-06,4790,4800,4780,4790,78880100
2023-03-03,4800,4800,4730,4760,84777000
2023-03-02,4750,4780,4720,4780,59394100
2023-03-01,4730,4750,4700,4720,115578600
2023-02-28,4760,4790,4670,4670,273125500
2023-02-27,4780,4810,4760,4810,76714400
2023-02-24,4800,4840,4760,4760,60495900
2023-02-23,4810,4810,4730,4800,139206900
2023-02-22,4790,4810,4730,4760,122400600
2023-02-21,4880,4880,4820,4820,59319100
2023-02-20,4900,4900,4840,4880,88433000
2023-02-17,4890,4890,4830,4880,90548800
2023-02-16,4890,4890,4850,4870,69966900
2023-02-15,4890,4890,4810,4870,107131200
2023-02-14,4820,4870,4810,4870,101007200
2023-02-13,4900,4900,4800,4800,122509100
2023-02-10,4840,4880,4770,4860,181146600
2023-02-09,4790,4840,4770,4810,155917600
2023-02-08,4710,4790,4710,4790,168618100
2023-02-07,4740,4790,4720,4750,140923100
2023-02-06,4780,4810,4680,4740,141454400
2023-02-03,4650,4780,4630,4750,198944500
2023-02-02,4650,4680,4600,4600,125410800
2023-02-01,4630,4690,4620,4680,181954400
2023-01-31,4610,4620,4570,4580,211639100
2023-01-30,4650,4680,4570,4610,221100100
2023-01-27,4600,4680,4600,4640,160345400
2023-01-26,4560,4620,4550,4590,113894600
2023-01-25,4620,4620,4550,4560,73861500
2023-01-24,4660,4680,4590,4620,74760100
2023-01-20,4630,4670,4620,4650,99716100
2023-01-19,4590,4630,4580,4610,103197400
2023-01-18,4560,4620,4560,4600,178058900
2023-01-17,4520,4580,4510,4560,150577400
2023-01-16,4430,4530,4420,4520,162026700
2023-01-13,4510,4530,4420,4480,134661900
2023-01-12,4480,4520,4410,4500,191801400
2023-01-11,4410,4430,4360,4380,249085500
2023-01-10,4550,4570,4410,4430,250490000
2023-01-09,4580,4640,4550,4590,166620000
2023-01-06,4550,4640,4550,4620,175932000
2023-01-05,4750,4760,4570,4640,292142000
2023-01-04,4850,4850,4770,4770,188230000
2023-01-03,4830,4900,4830,4850,95179400
2023-01-02,4910,4920,4820,4870,109069900
2022-12-30,4870,4950,4870,4940,182091500
2022-12-29,4820,4870,4800,4870,106690700
2022-12-28,4870,4880,4810,4820,134315900
2022-12-27,4930,4950,4860,4870,81817500
2022-12-26,4900,4930,4890,4930,43590300
2022-12-23,4920,4940,4880,4880,53350600
2022-12-22,4910,4970,4900,4960,72725200
2022-12-21,4910,4940,4870,4890,71596900
2022-12-20,4930,4970,4890,4910,79066000
2022-12-19,4970,4980,4920,4970,64757100
2022-12-16,4820,4980,4820,4980,350112900
2022-12-15,4900,4940,4880,4910,143086000
2022-12-14,5000,5000,4870,4980,201343100
